Effective Date,County,Trade Title,Region,Type,Class,Base Wage,Foreman Wage,OT M-F,OT Sa,OT Su,OT Hol,H/W,Pension,Vacation,Training,Other Fringe Benefit
8/15/2018,Alexander,OPERATING ENGINEER,All,O&C,2,24.94,0.00,1.5,1.5,2,2,10.10,11.00,0.00,4.15,0.00
8/15/2018,Alexander,OPERATING ENGINEER,All,O&C,3,19.39,0.00,1.5,1.5,2,2,10.10,11.00,0.00,4.15,0.00
8/15/2018,Alexander,PAINTER,All,BLD,,29.26,30.76,1.5,1.5,2,2,6.25,9.43,0.00,0.55,0.00
2/15/2019,Alexander,PAINTER,All,HWY,,33.56,35.06,1.5,1.5,2,2,6.25,9.43,0.00,0.55,0.00
8/15/2018,Alexander,PAINTER OVER 30FT,All,BLD,,31.26,32.76,1.5,1.5,2,2,6.25,9.43,0.00,0.55,0.00
8/15/2018,Alexander,PAINTER PWR EQMT,All,BLD,,30.26,31.76,1.5,1.5,2,2,6.25,9.43,0.00,0.55,0.00
8/15/2018,Alexander,PAINTER PWR EQMT,All,HWY,,34.56,36.06,1.5,1.5,2,2,6.25,9.43,0.00,0.55,0.00
8/15/2018,Alexander,PILEDRIVER,All,BLD,,36.11,37.61,1.5,1.5,2,2,7.25,9.25,0.00,0.50,0.00
8/15/2018,Alexander,PILEDRIVER,All,HWY,,36.01,37.51,1.5,1.5,2,2,7.25,9.25,0.00,0.50,0.00
8/15/2018,Alexander,PIPEFITTER,All,BLD,,44.57,49.03,1.5,2,2,2,11.00,6.63,0.00,2.10,0.00
8/15/2018,Alexander,PLASTERER,All,BLD,,30.25,31.75,1.5,1.5,2,2,9.10,7.63,0.00,0.50,0.00
8/15/2018,Alexander,PLUMBER,All,BLD,,44.57,49.03,1.5,2,2,2,11.00,6.63,0.00,2.10,0.00
8/15/2018,Alexander,ROOFER,All,BLD,,27.85,28.85,1.5,1.5,2,2,9.20,3.80,0.00,0.00,0.00
8/15/2018,Alexander,SHEETMETAL WORKER,All,ALL,,34.27,35.77,1.5,1.5,2,2,9.25,8.84,2.06,0.54,0.00
8/15/2018,Alexander,SPRINKLER FITTER,ALL,BLD,,37.12,39.87,1.5,1.5,2,2,8.42,8.50,0.00,0.35,
8/15/2018,Alexander,STONE MASON,All,BLD,,30.92,32.78,1.5,1.5,2,2,9.10,9.67,0.00,0.85,0.00
8/15/2018,Alexander,TERRAZZO FINISHER,ALL,BLD,,29.20,29.20,1.5,1.5,2,2,8.75,9.24,0.00,0.80,
8/15/2018,Alexander,TERRAZZO MASON,ALL,BLD,,30.70,32.54,1.5,1.5,2,2,8.75,9.24,0.00,0.80,
8/15/2018,Alexander,TRUCK DRIVER,ALL,ALL,1,36.26,40.15,1.5,1.5,2,2,12.16,6.10,0.00,0.25,
8/15/2018,Alexander,TRUCK DRIVER,ALL,ALL,2,36.77,40.15,1.5,1.5,2,2,12.16,6.10,0.00,0.25,
8/15/2018,Alexander,TRUCK DRIVER,ALL,ALL,3,37.05,40.15,1.5,1.5,2,2,12.16,6.10,0.00,0.25,
8/15/2018,Alexander,TRUCK DRIVER,ALL,ALL,4,37.36,40.15,1.5,1.5,2,2,12.16,6.10,0.00,0.25,
8/15/2018,Alexander,TRUCK DRIVER,ALL,ALL,5,38.35,40.15,1.5,1.5,2,2,12.16,6.10,0.00,0.25,
8/15/2018,Alexander,TRUCK DRIVER,ALL,O&C,1,29.01,32.12,1.5,1.5,2,2,12.16,6.10,0.00,0.25,
8/15/2018,Alexander,TRUCK DRIVER,ALL,O&C,2,29.42,32.12,1.5,1.5,2,2,12.16,6.10,0.00,0.25,
8/15/2018,Alexander,TRUCK DRIVER,ALL,O&C,3,29.64,32.12,1.5,1.5,2,2,12.16,6.10,0.00,0.25,
